lat-lng,price,number of rooms
[],$1850,/ 4br - 1864ft
[],$950,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.273938"" data-longitude=""-123.119394"" id=""map""></div>]",$2550,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.296059"" data-longitude=""-122.784319"" id=""map""></div>]",$1100,/ 2br - 1050ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.328376"" data-longitude=""-123.093452"" id=""map""></div>]",$1800,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.213343"" data-longitude=""-123.069212"" id=""map""></div>]",$1300,/ 2br - 1180ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.258829"" data-longitude=""-123.133886"" id=""map""></div>]",$1650,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.328725"" data-longitude=""-123.153576"" id=""map""></div>]",$1900,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.239793"" data-longitude=""-122.857318"" id=""map""></div>]",$925,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.240415"" data-longitude=""-122.857447"" id=""map""></div>]",$825,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.242214"" data-longitude=""-122.857106"" id=""map""></div>]",$925,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.240527"" data-longitude=""-122.857103"" id=""map""></div>]",$825,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.284104"" data-longitude=""-123.098885"" id=""map""></div>]",$4195,/ 1br - 1400ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.246709"" data-longitude=""-123.108043"" id=""map""></div>]",$2200,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.286900"" data-longitude=""-122.782303"" id=""map""></div>]",$990,/ 2br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.313297"" data-longitude=""-123.038121"" id=""map""></div>]",$3500,/ 5br - 4300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.123082"" data-longitude=""-122.889998"" id=""map""></div>]",$1295,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.104390"" data-longitude=""-122.677175"" id=""map""></div>]",$1310,/ 3br - 1340ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.228234"" data-longitude=""-123.129809"" id=""map""></div>]",$5950,/ 6br - 4492ft
[],$2300,/ 1br - 535ft
